,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,CatRoomService,CatFoodCourt,CatShoppingMall,CatSpa,CatVRDeck,GroupSize,FamilySize,Europa,Earth,Mars,TRAPPIST-1e,PSO J318.5-22,55 Cancri e,Deck_B,Deck_F,Deck_A,Deck_G,Deck_E,Deck_D,Deck_C,Side_P,Side_S
33,0,23,0,14,870,0,0,23,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
34,0,24,0,483,0,87,214,0,2,0,1,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
35,0,19,0,0,20,135,265,367,0,1,1,2,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
36,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
37,0,27,0,66,1736,0,0,15,1,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
38,1,6,0,-178,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
39,0,33,0,0,0,0,866,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
40,0,23,0,0,0,1235,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
41,0,30,0,1,0,1585,0,484,0,0,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
42,0,21,0,0,17,997,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
43,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
44,0,20,0,1,0,0,599,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
45,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
46,0,34,0,0,0,39,1,556,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
47,0,24,0,0,22,82,0,686,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
48,0,29,0,14,869,312,1,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
49,0,20,0,1037,1,2,0,1576,2,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
50,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
51,1,22,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
52,0,16,0,3966,2872,0,0,2458,2,3,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
53,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
54,0,36,0,0,0,571,36,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
55,0,26,0,46,315,2305,0,97,1,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
56,0,40,0,413,514,1,0,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
57,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
58,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
59,0,23,0,378,402,0,0,509,2,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
61,0,30,0,0,8853,6108,29,3523,0,4,3,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
62,0,56,0,0,44,23,723,0,0,1,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
63,1,36,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
64,1,56,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
65,0,19,0,32,0,521,0,223,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
66,1,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
67,0,38,0,2,26,148,1213,0,1,1,1,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
68,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
69,0,35,0,0,463,0,1502,585,0,1,0,3,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
70,0,26,0,832,0,0,21,136,2,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
71,0,31,0,0,0,705,0,0,0,0,2,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
72,0,38,0,0,3,0,756,0,0,1,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
73,0,27,0,212,11,0,0,1172,0,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
74,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
75,0,22,0,0,772,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
76,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
77,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
78,0,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
79,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
80,1,27,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
81,0,9,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
82,0,29,0,362,15,0,0,450,2,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
83,0,18,0,756,116,0,1,58,2,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
84,0,22,0,197,0,1175,0,0,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
85,0,24,0,6,11,1404,0,0,1,1,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
86,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
87,0,36,0,261,0,206,465,0,2,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
88,1,14,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
89,1,24,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
90,0,26,1,0,275,0,4572,163,0,1,0,4,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
91,0,29,0,1669,2,242,155,0,2,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
92,0,40,0,44,0,565,0,18,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
93,0,36,0,33,3350,0,12767,1193,1,2,0,4,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
94,0,46,0,717,516,4,2,2439,2,2,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
95,0,42,0,4762,20,0,4,41,2,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
96,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
97,0,19,0,741,12,1,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
98,0,25,0,3,3833,8098,1531,0,1,4,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
99,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
100,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
101,0,39,0,0,25273,0,13,1714,0,4,0,1,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
102,1,42,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
103,0,35,0,0,1442,0,1813,6439,0,3,0,3,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
104,1,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
105,0,20,0,786,0,0,0,-99,2,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
106,1,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
107,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
108,0,39,0,2556,0,22,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
109,1,23,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
110,1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
111,0,50,0,0,0,78,751,78,0,0,1,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
112,0,41,0,0,0,728,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
113,0,19,0,1,0,2839,85,0,0,0,3,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
114,0,20,0,186,0,0,602,100,2,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
115,1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
116,1,38,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
117,0,32,0,1340,2514,0,8517,1256,2,2,0,4,2,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
118,0,44,0,696,0,462,46,94,2,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
119,0,18,0,1542,0,138,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
120,0,49,0,108,0,41,1560,0,1,0,1,3,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
121,0,23,0,3186,0,0,2,0,2,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
122,0,31,0,41,334,1,62,484,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
123,0,55,0,1054,0,2,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
124,0,60,0,60,0,7022,0,0,1,0,3,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
125,1,20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
126,0,34,0,301,0,79,919,0,2,0,1,3,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
127,0,14,0,123,0,0,1936,22,1,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
128,1,26,0,0,-469,0,0,-171,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
129,0,19,0,0,86,0,368,4055,0,1,0,2,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
130,1,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
131,0,42,0,98,10,0,613,0,1,1,0,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
132,0,18,0,212,678,12,0,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
133,0,50,0,0,0,1299,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
134,0,26,0,0,661,0,1079,281,0,1,0,3,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
135,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,0,35,0,245,627,0,44,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
137,0,58,0,73,0,422,978,0,1,0,1,3,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
138,0,20,0,376,0,242,1,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
139,0,28,0,5,11549,132,4966,524,1,4,1,4,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
140,1,12,0,-135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
141,0,20,0,346,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
142,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
143,0,31,0,0,34,81,0,608,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
144,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
145,0,17,0,1031,0,1026,42,0,2,0,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0
146,1,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0
147,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
148,0,48,0,370,755,0,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
149,0,38,0,3,1252,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
150,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
151,1,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
152,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
153,0,52,0,356,34,288,0,124,2,1,1,0,1,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
154,0,15,0,638,0,7,0,0,2,0,1,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
155,0,25,0,10,2,755,0,9,1,1,2,0,1,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
156,1,14,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
157,1,16,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
158,0,16,0,1395,0,0,21,522,2,0,0,1,1,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
159,0,48,0,1,0,259,308,450,0,0,1,2,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
160,0,36,0,0,69,0,0,796,0,1,0,0,2,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
161,0,19,0,0,74,610,0,276,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
162,1,43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
163,1,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
164,0,54,0,0,8,4391,4882,7,0,1,3,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
165,0,33,0,0,1030,0,3490,5832,0,2,0,4,3,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
166,1,21,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
167,0,33,0,23,0,737,493,1373,1,0,2,2,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
168,1,28,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
169,0,23,0,0,1468,0,704,1193,0,3,0,3,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
170,0,26,0,8,67,0,393,1975,1,1,0,2,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
171,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
172,1,2,0,-201,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
173,1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
174,0,70,0,130,0,1247,0,3,1,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
175,0,20,0,0,1704,3,0,0,0,3,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
176,0,31,0,273,722,1,0,0,2,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
177,0,8,0,0,0,0,0,224,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
178,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
179,0,45,0,288,0,932,4,0,2,0,2,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
180,0,37,0,731,0,517,50,0,2,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
181,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
182,0,55,0,0,538,0,6,5288,0,2,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
183,0,18,0,0,251,177,0,553,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
184,0,36,0,6,0,0,783,0,1,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
185,0,59,0,1678,299,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
186,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
187,0,46,0,4908,1,3,1,14,2,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
188,0,29,0,87,1192,67,0,3,1,2,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
189,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
190,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
191,0,28,0,4,0,2219,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
192,0,26,0,708,183,10,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
193,0,32,0,642,0,759,332,1444,2,0,2,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
194,0,18,0,658,0,0,0,5,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
195,0,50,0,1,0,0,736,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
196,0,47,0,239,75,487,7,0,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
197,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
198,1,35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
199,0,49,0,189,108,0,882,0,2,0,0,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
200,0,32,0,0,2116,6252,0,81,0,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
201,0,63,0,4,6,0,654,835,1,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
202,0,54,0,129,0,441,1028,0,1,0,1,3,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
203,0,21,0,128,0,20,628,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
204,0,38,0,1030,1347,197,3,0,2,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
205,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
206,0,32,0,1,0,858,0,689,0,0,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
207,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
208,0,30,0,0,870,67,1,461,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
209,1,28,0,0,0,0,0,-106,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
210,1,22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
211,1,27,0,0,0,0,0,-328,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
212,1,37,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
213,0,59,0,53,0,2736,0,0,1,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
214,0,31,0,0,2522,0,0,2756,0,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
215,0,25,0,246,0,541,0,16,2,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
216,0,38,0,8,147,0,7668,46,1,1,0,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
217,1,37,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
