,CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,CatRoomService,CatFoodCourt,CatShoppingMall,CatSpa,CatVRDeck,Transported,GroupSize,FamilySize,Europa,Earth,Mars,TRAPPIST-1e,PSO J318.5-22,55 Cancri e,Deck_B,Deck_F,Deck_A,Deck_G,Deck_E,Deck_D,Deck_C,Side_P,Side_S
21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
22,1,49,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
23,1,29,0,0,0,-286,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
24,0,10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
25,1,1,0,-71,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
26,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
27,0,21,0,980,2,69,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0
28,1,62,0,0,0,119,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
29,0,15,0,0,225,0,998,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
30,0,34,0,22,6073,0,1438,328,1,4,0,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
31,0,43,0,1125,0,136,48,0,2,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
32,0,32,0,0,850,81,437,453,0,2,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
33,0,47,0,214,0,1411,0,1229,1,0,3,0,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
34,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
35,0,20,0,307,0,1750,990,0,0,0,3,3,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
36,1,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
37,0,23,0,784,964,0,951,0,2,2,0,3,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
38,0,15,0,0,492,48,20,401,0,2,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
39,0,20,0,554,195,0,2606,0,2,1,0,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
40,1,30,0,0,0,-166,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
41,1,17,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
42,0,45,0,0,164,45,2511,855,0,1,1,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
43,1,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
44,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
45,1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
46,0,21,0,970,0,180,0,64,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
47,1,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
48,0,35,0,790,0,0,178,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
49,0,56,0,0,112,0,1379,127,0,1,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
50,0,30,0,4,0,2,4683,0,1,0,1,4,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
51,0,25,0,0,0,1938,0,1,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
52,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
53,1,38,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
54,0,27,0,279,605,3374,286,3,1,2,3,2,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
55,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
56,0,22,0,45,1096,148,1377,1,1,2,1,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
57,0,62,0,0,592,0,17,25,0,2,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
58,1,15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
59,1,33,0,0,0,-30,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
60,0,62,0,1,153,197,0,460,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
61,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
62,0,18,0,1,258,446,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
63,0,21,0,1946,37,0,0,24,2,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
64,0,35,0,793,0,2,253,0,2,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
65,0,42,0,887,0,9,6,0,2,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
66,0,19,0,190,0,5,1,726,1,0,1,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
67,0,17,0,16,2165,0,0,52,1,3,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
68,0,14,0,0,1,0,0,1063,0,0,0,0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
69,0,37,0,46,83,738,0,12,1,1,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
70,0,42,0,1,8397,0,0,506,0,4,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
71,0,27,0,147,0,1018,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
72,0,28,0,14,0,1295,0,0,1,0,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
73,0,38,0,0,5840,0,321,9654,0,4,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
74,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
75,0,42,0,7406,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
76,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
77,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
78,0,24,0,688,0,0,0,17,2,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
79,1,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
80,0,43,0,211,0,0,638,513,1,0,0,2,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
81,1,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
82,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
83,1,26,0,-204,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
84,0,27,0,1,697,31,188,0,0,2,1,2,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
85,0,19,0,0,0,670,1,34,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
86,1,0,0,0,0,-59,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
87,1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
88,0,54,0,0,1208,0,3,637,0,2,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
89,0,26,0,0,856,5,32,0,0,2,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
90,0,26,0,0,2811,957,0,87,0,3,2,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
91,0,23,0,311,427,526,37,0,2,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
92,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
93,1,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
94,0,18,0,0,0,0,830,91,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
95,0,24,0,0,653,0,0,17,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
96,1,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
97,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
98,0,27,0,0,0,570,2,131,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
99,0,21,0,1743,5,17,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
100,1,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
101,0,31,0,562,0,326,0,0,2,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
102,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
103,0,32,0,0,410,6,3929,764,0,1,1,4,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
104,0,40,0,0,331,0,0,1687,0,1,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
105,0,42,0,2209,11418,0,1868,445,2,4,0,3,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
106,1,28,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
107,1,29,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
108,0,48,1,0,2537,87,17,13,0,3,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
109,0,64,0,0,0,804,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
110,0,27,0,82,157,429,238,1,1,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
111,0,26,0,0,0,0,0,-183,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
112,0,33,0,1,2223,0,12,404,0,3,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
113,0,39,0,0,2344,0,65,6898,0,3,0,1,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
114,1,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
115,1,24,0,0,0,0,0,-242,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
116,0,29,0,0,0,0,699,74,0,0,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
117,0,18,0,55,597,49,0,1,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
118,1,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
119,0,35,0,701,0,296,0,25,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
120,0,61,1,2353,334,9,316,2,2,1,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
121,0,45,0,2103,6,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
122,1,22,0,0,0,-23,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
123,1,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
124,0,36,0,2738,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
125,0,19,0,0,14,730,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
126,0,47,0,97,418,126,25,55,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
127,1,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
128,0,34,0,0,22,0,564,207,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
129,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
130,1,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
131,0,26,0,440,0,0,0,462,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
132,0,31,0,892,0,97,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
133,0,20,0,0,420,210,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
134,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
135,1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
136,0,42,0,1072,0,10,0,76,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
137,1,25,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
138,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
139,0,41,0,0,0,0,0,607,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
140,0,22,0,4119,0,0,0,61,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
141,1,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
142,1,17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
143,0,57,0,50,1688,0,368,135,1,3,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
144,1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
145,1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
146,1,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
147,0,27,0,1365,0,48,22,137,2,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
148,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
149,0,24,0,0,0,0,221,567,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
150,1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
151,1,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
152,0,58,0,0,985,0,5,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
153,0,21,0,287,0,16,115,175,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
154,0,38,0,0,10346,1,14970,2111,0,4,0,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
155,0,38,0,3414,0,161,28,119,2,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
156,0,19,0,1,219,673,2,11,0,1,2,1,1,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
158,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
159,0,20,0,0,0,3,299,92,0,0,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
160,1,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
161,0,37,0,17,146,426,0,232,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
162,0,25,0,62,0,0,0,956,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
163,1,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
164,0,49,0,84,3,401,202,98,1,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
165,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
166,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
167,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
168,0,39,0,0,0,10,898,0,0,0,1,3,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
169,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
170,0,23,0,633,0,8,1072,0,1,0,1,3,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
171,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
172,0,39,0,406,0,867,0,0,2,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
173,0,25,0,1052,0,719,0,7,2,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
174,0,36,0,0,972,0,795,575,0,2,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
175,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
176,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
177,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
178,1,35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
179,1,47,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
180,1,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
181,0,34,0,0,2433,257,878,443,0,3,0,3,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
182,1,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
183,0,29,0,0,2,66,0,705,0,1,1,0,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
184,0,41,0,2,1720,12,1125,122,0,3,1,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
185,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
186,1,24,0,0,0,69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
187,0,29,0,902,1,137,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
188,1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
189,0,17,0,848,0,307,182,0,2,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
190,0,13,0,192,0,0,51,739,1,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
191,0,35,0,147,188,0,10,387,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
192,0,21,0,367,281,0,0,146,2,1,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
193,0,21,0,0,56,0,0,1918,0,1,0,0,2,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
194,0,38,0,1517,0,0,27,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
195,1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
196,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
198,1,13,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
199,0,25,0,122,84,146,0,0,1,1,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
200,0,16,0,0,3,0,0,1099,0,1,0,0,2,0,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
201,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
202,1,15,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
203,0,21,0,2237,0,119,0,0,2,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
204,0,23,0,1215,80,1,2,0,2,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
205,0,33,0,1933,12,188,1,0,2,1,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
206,1,21,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
207,0,41,0,1230,0,301,43,1023,2,0,1,1,2,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
208,0,16,0,915,0,221,234,0,2,0,1,2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
209,1,42,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
210,0,20,0,1406,0,0,11,0,2,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
