CryoSleep,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,CatRoomService,CatFoodCourt,CatShoppingMall,CatSpa,CatVRDeck,Transported,GroupSize,FamilySize,Europa,Earth,Mars,TRAPPIST-1e,PSO J318.5-22,55 Cancri e,Deck_B,Deck_F,Deck_A,Deck_G,Deck_E,Deck_D,Deck_C,Side_P,Side_S
0,37,0,46,83,738,0,12,1,1,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
0,42,0,1,8397,0,0,506,0,4,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,27,0,147,0,1018,0,0,1,0,2,0,0,1,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
0,28,0,14,0,1295,0,0,1,0,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,38,0,0,5840,0,321,9654,0,4,0,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,42,0,7406,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,24,0,688,0,0,0,17,2,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,43,0,211,0,0,638,513,1,0,0,2,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1
1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,26,0,-204,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,27,0,1,697,31,188,0,0,2,1,2,0,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,19,0,0,0,670,1,34,0,0,2,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,0,-59,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,54,0,0,1208,0,3,637,0,2,0,1,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
0,26,0,0,856,5,32,0,0,2,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,26,0,0,2811,957,0,87,0,3,2,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,23,0,311,427,526,37,0,2,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,830,91,0,0,0,3,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,24,0,0,653,0,0,17,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1,9,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,27,0,0,0,570,2,131,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,21,0,1743,5,17,0,0,2,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
1,23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,31,0,562,0,326,0,0,2,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,32,0,0,410,6,3929,764,0,1,1,4,2,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,40,0,0,331,0,0,1687,0,1,0,0,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,42,0,2209,11418,0,1868,445,2,4,0,3,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,28,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,29,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,48,1,0,2537,87,17,13,0,3,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1
0,64,0,0,0,804,0,0,0,0,2,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,27,0,82,157,429,238,1,1,1,1,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,26,0,0,0,0,0,-183,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,33,0,1,2223,0,12,404,0,3,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
0,39,0,0,2344,0,65,6898,0,3,0,1,3,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1,24,0,0,0,0,0,-242,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,29,0,0,0,0,699,74,0,0,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,18,0,55,597,49,0,1,1,2,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
0,35,0,701,0,296,0,25,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0,61,1,2353,334,9,316,2,2,1,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0,45,0,2103,6,0,0,0,2,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1,22,0,0,0,-23,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1,19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
0,36,0,2738,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0,19,0,0,14,730,0,0,0,1,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,47,0,97,418,126,25,55,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,34,0,0,22,0,564,207,0,1,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,26,0,440,0,0,0,462,2,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,31,0,892,0,97,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,20,0,0,420,210,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,50,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,42,0,1072,0,10,0,76,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1,25,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0,41,0,0,0,0,0,607,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
0,22,0,4119,0,0,0,61,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
1,17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
0,57,0,50,1688,0,368,135,1,3,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1,13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
0,27,0,1365,0,48,22,137,2,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,24,0,0,0,0,221,567,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1,32,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,58,0,0,985,0,5,0,0,2,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1
0,21,0,287,0,16,115,175,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
0,38,0,0,10346,1,14970,2111,0,4,0,4,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
0,38,0,3414,0,161,28,119,2,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
0,19,0,1,219,673,2,11,0,1,2,1,1,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,20,0,0,0,3,299,92,0,0,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
0,37,0,17,146,426,0,232,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,25,0,62,0,0,0,956,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,49,0,84,3,401,202,98,1,1,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,39,0,0,0,10,898,0,0,0,1,3,0,0,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,23,0,633,0,8,1072,0,1,0,1,3,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,39,0,406,0,867,0,0,2,0,2,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,25,0,1052,0,719,0,7,2,0,2,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
0,36,0,0,972,0,795,575,0,2,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,47,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
1,45,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,34,0,0,2433,257,878,443,0,3,0,3,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
0,29,0,0,2,66,0,705,0,1,1,0,2,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,41,0,2,1720,12,1125,122,0,3,1,3,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1,24,0,0,0,69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
0,29,0,902,1,137,0,0,2,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
1,11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,17,0,848,0,307,182,0,2,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,13,0,192,0,0,51,739,1,0,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
0,35,0,147,188,0,10,387,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,21,0,367,281,0,0,146,2,1,0,0,1,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,21,0,0,56,0,0,1918,0,1,0,0,2,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1
0,38,0,1517,0,0,27,0,2,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
1,19,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1,13,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,25,0,122,84,146,0,0,1,1,0,0,0,0,2,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
0,16,0,0,3,0,0,1099,0,1,0,0,2,0,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
1,15,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
0,21,0,2237,0,119,0,0,2,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
0,23,0,1215,80,1,2,0,2,1,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0,33,0,1933,12,188,1,0,2,1,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1,21,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0,41,0,1230,0,301,43,1023,2,0,1,1,2,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0,16,0,915,0,221,234,0,2,0,1,2,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
1,42,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0,20,0,1406,0,0,11,0,2,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
1,24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
1,16,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1
0,21,0,0,2,665,0,9,0,1,2,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,32,1,181,0,5,1634,0,1,0,1,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
1,58,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
0,24,0,4,7,0,713,79,1,1,0,3,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
0,30,0,85,0,1,1720,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
